"|","|__ageData__hunger","|__ageData__military","|__ageData__population","|__ageData__science","|__ageData__security","|__ageData__time","|__numAI","|__numMans"
"","0.44","0","0.249","0","0.2","49.29999999999985","",""
"","0.44","0.3","0.135","0.7","0.2","31.999999999999602","",""
"","0.48","0.2","0.299","0.2","0.2","37.59999999999968","",""
"","0.48","0.15","0.344","0.6","0.2","56.39999999999995","",""
"","0.4","0","0.26","0.5","0.2","42.89999999999976","",""
"","0.42","0.01","0.317","0.7","0.2","42.099999999999746","",""
"","0.42","0.3","0.332","0.8","0.2","36.399999999999665","",""
"","0.42","0.05","0.342","0","0.2","36.399999999999665","",""
"","0.4","0","0.291","0.8","0","35.89999999999966","",""
"","0.46","0","0.307","0.96","0","44.29999999999978","",""
"","0.48","0.2","0.389","1.04","0","47.99999999999983","",""
"","0.42","0.05","0.444","1.02","0","49.19999999999985","",""
"","0.42","0","0.377","1.62","0","51.69999999999988","",""
"","0.46","0.05","0.401","0.94","0","48.49999999999984","",""
"","0.48","0","0.436","1.38","0","52.599999999999895","",""
"","0.46","0.1","0.464","1.68","0","50.599999999999866","",""
"deb3b51f-06cf-4b42-94b8-18a78bda4e9c","0.625","0.9","0.245","0.8","0.6","54.699999999999925","0","0"
"","0.525","0.83","0.341","0.66","0.6","57.599999999999966","",""
"","0.4","0.74","0.337","0.66","0.6","56.099999999999945","",""
"","0.775","0.94","0.122","0.16","0.8","46.39999999999981","",""
"","0.675","0.87","0.123","0.4","0.8","57.09999999999996","",""
"e15f90fd-9609-484f-87ea-e9066efe0305","0.64","0.64","0.232","0.28","0.6","41.69999999999974","1","0"
"","0.54","0.55","0.327","0.1","0.6","56.49999999999995","",""
"","0.88","0.59","0.414","0.02","0.6","53.69999999999991","",""
"","0.8","0.35","0.307","1","0.6","57.39999999999996","",""
"","0.72","0.37","0.308","1.24","0.6","56.99999999999996","",""
"","0.5","0.17","0.447","1.38","0.6","55.89999999999994","",""
"","0.48","0.25","0.496","1.36","0.6","55.89999999999994","",""
"","0.46","0.33","0.695","1.72","0.6","60","",""
"","0.44","0.51","0.844","1.7","0.6","59.9","",""
"","0.42","0.69","0.793","2.16","0.8","60","",""
"","0.38","0.81","0.891","3.08","0.8","59.9","",""
"","0.36","0.59","0.88","3.06","0.8","60","",""
"","0.34","0.47","0.929","3.04","0.8","60","",""
"","0.32","0.55","0.878","3.4","0.8","60","",""
"","0.3","0.58","1.027","3.56","0.8","59.9","",""
"","0.26","0.58","1.025","3.06","0.8","60","",""
"","0.24","0.66","0.974","3.62","0.8","59.9","",""
"","0.22","0.54","0.998","4.38","0.6","60","",""
"","0.2","0.57","0.947","4.74","0.6","60","",""
"","0.18","0.75","1.056","5.3","0.6","59.9","",""
"","0.14","0.82","1.164","5.52","0.4","59.9","",""
"","0.12","0.9","1.213","5.5","0.4","60","",""
"","0.1","0.89","1.162","5.56","0.4","60","",""
"","0.08","0.92","1.211","5.12","0.4","59.9","",""
"","0.06","1.15","1.22","4.98","0.4","60","",""
"","0.04","0.63","0.319","4.84","0.4","59.9","",""
"","0.04","0.63","0.319","4.84","0.4","59.9","",""
"e44321b6-fe3e-4677-bf3d-122eff23295e","0.475","0.78","0.239","0.56","0.6","48.79999999999984","0","1"
"","0.45","0.23","0.311","0.02","0.6","40.99999999999973","",""
"","0.625","0.3","0.365","0.02","0.6","43.499999999999766","",""
"","0.625","0","0.184","1","0.8","31.699999999999598","",""
"","0.3","0","0.108","0.54","0.8","48.89999999999984","",""
"","0.3","0.01","0.005","1.26","1","24.7999999999995","",""
"","0.325","0.1","0.005","1.24","1","35.59999999999965","",""
"","0.3","0.45","0.005","1.12","1","48.19999999999983","",""
